,时间戳,日期,时段,年,月,日,星期,是否周末,季度,小时,是否高峰时段,是否夜间,系统负荷-实时,风电出力-实时,光伏出力-实时,水电出力-实时,联络线计划-实时,非市场化机组出力-实时,平均出清价格-实时（元/MWh）
0,2024-05-28_00:00-01:00,2024-05-28,00:00-01:00,2024,5,28,2,0,2,0,0,1,29996.0,1757.543457,0.0,18576.986,-9883.0,21060.056,362.968811
1,2024-05-28_01:00-02:00,2024-05-28,01:00-02:00,2024,5,28,2,0,2,1,0,1,28760.0,1774.41687,0.0,17214.052,-9882.0,19634.642,350.777802
2,2024-05-28_02:00-03:00,2024-05-28,02:00-03:00,2024,5,28,2,0,2,2,0,1,27910.0,2000.493896,0.0,16443.907,-9882.0,18875.817,350.483795
3,2024-05-28_03:00-04:00,2024-05-28,03:00-04:00,2024,5,28,2,0,2,3,0,1,27332.0,2062.069824,0.0,16139.639,-9842.0,18556.269,350.237457
4,2024-05-28_04:00-05:00,2024-05-28,04:00-05:00,2024,5,28,2,0,2,4,0,1,27496.0,1814.629517,0.64,16101.002,-9842.0,18565.032,365.245056
5,2024-05-28_05:00-06:00,2024-05-28,05:00-06:00,2024,5,28,2,0,2,5,0,1,28807.0,1906.886841,268.263824,16953.369,-9642.0,19513.871,361.123505
6,2024-05-28_06:00-07:00,2024-05-28,06:00-07:00,2024,5,28,2,0,2,6,0,1,29789.0,1861.158691,2074.39624,17286.998,-10639.0,20717.888,344.90506
7,2024-05-28_07:00-08:00,2024-05-28,07:00-08:00,2024,5,28,2,0,2,7,0,0,31549.0,1692.660889,5141.317383,17209.998,-11446.0,21995.282,85.257164
8,2024-05-28_08:00-09:00,2024-05-28,08:00-09:00,2024,5,28,2,0,2,8,1,0,33795.0,1429.307861,8357.328125,17185.256,-11351.0,23416.891,24.358984
9,2024-05-28_09:00-10:00,2024-05-28,09:00-10:00,2024,5,28,2,0,2,9,1,0,34813.0,1140.35022,10169.0459,14855.002,-9488.0,22174.537,4.445681
10,2024-05-28_10:00-11:00,2024-05-28,10:00-11:00,2024,5,28,2,0,2,10,1,0,35644.0,1043.323242,11208.04199,11224.998,-7824.0,18994.239,4.364784
11,2024-05-28_11:00-12:00,2024-05-28,11:00-12:00,2024,5,28,2,0,2,11,1,0,34157.0,1062.860474,9647.77832,11179.998,-7323.0,18765.864,41.661755
12,2024-05-28_12:00-13:00,2024-05-28,12:00-13:00,2024,5,28,2,0,2,12,1,0,34492.0,1046.873291,10206.51074,11179.998,-7162.0,18240.882,45.719807
13,2024-05-28_13:00-14:00,2024-05-28,13:00-14:00,2024,5,28,2,0,2,13,1,0,34530.0,1090.640015,9496.320313,11189.998,-7133.0,18358.732,43.002239
14,2024-05-28_14:00-15:00,2024-05-28,14:00-15:00,2024,5,28,2,0,2,14,1,0,34805.0,1108.409912,8689.516602,12089.998,-7127.0,18910.919,51.352325
15,2024-05-28_15:00-16:00,2024-05-28,15:00-16:00,2024,5,28,2,0,2,15,1,0,35256.0,1328.16687,7258.200195,14117.502,-7930.0,19763.994,93.410484
16,2024-05-28_16:00-17:00,2024-05-28,16:00-17:00,2024,5,28,2,0,2,16,0,0,35225.0,1534.736816,4521.1875,18832.651,-10049.0,23789.429,90.294228
17,2024-05-28_17:00-18:00,2024-05-28,17:00-18:00,2024,5,28,2,0,2,17,0,0,33806.0,1737.140015,1859.161255,21449.97,-10755.0,25332.219,204.069
18,2024-05-28_18:00-19:00,2024-05-28,18:00-19:00,2024,5,28,2,0,2,18,0,0,33384.0,1993.283081,318.672455,22008.014,-10282.0,25281.514,304.338165
19,2024-05-28_19:00-20:00,2024-05-28,19:00-20:00,2024,5,28,2,0,2,19,0,0,33914.0,2430.958252,62.017097,22145.998,-10076.0,25412.078,306.55896
20,2024-05-28_20:00-21:00,2024-05-28,20:00-21:00,2024,5,28,2,0,2,20,0,0,34003.0,2661.791992,0.01,22766.069,-10368.0,25612.549,327.217499
21,2024-05-28_21:00-22:00,2024-05-28,21:00-22:00,2024,5,28,2,0,2,21,0,0,32400.0,2713.764893,0.0,21854.121,-10008.0,24595.761,341.730774
22,2024-05-28_22:00-23:00,2024-05-28,22:00-23:00,2024,5,28,2,0,2,22,0,1,31145.0,2608.810059,0.0,21476.161,-10901.0,24010.971,264.50058
23,2024-05-28_23:00-24:00,2024-05-28,23:00-24:00,2024,5,28,2,0,2,23,0,1,30097.0,2444.18042,0.0,20692.195,-10913.0,23177.435,179.562943
24,2024-05-29_00:00-01:00,2024-05-29,00:00-01:00,2024,5,29,3,0,2,0,0,1,28756.0,2228.186768,0.0,16869.0,-8902.0,19161.68,392.971344
25,2024-05-29_01:00-02:00,2024-05-29,01:00-02:00,2024,5,29,3,0,2,1,0,1,27740.0,1985.7146,0.0,16098.0,-8470.0,18365.92,392.938416
26,2024-05-29_02:00-03:00,2024-05-29,02:00-03:00,2024,5,29,3,0,2,2,0,1,26929.0,2059.169678,0.0,15358.986,-8304.0,17615.586,372.678375
27,2024-05-29_03:00-04:00,2024-05-29,03:00-04:00,2024,5,29,3,0,2,3,0,1,26404.0,1952.653931,0.0,14889.0,-8255.0,17110.84,364.604675
28,2024-05-29_04:00-05:00,2024-05-29,04:00-05:00,2024,5,29,3,0,2,4,0,1,26587.0,1973.525269,0.068,14945.0,-8077.0,17158.71,372.512878
29,2024-05-29_05:00-06:00,2024-05-29,05:00-06:00,2024,5,29,3,0,2,5,0,1,27899.0,2028.090942,215.951996,15145.2,-8460.0,17633.848,384.132507
30,2024-05-29_06:00-07:00,2024-05-29,06:00-07:00,2024,5,29,3,0,2,6,0,1,28938.0,2272.015137,1626.124756,16156.498,-9388.0,19318.427,357.553192
31,2024-05-29_07:00-08:00,2024-05-29,07:00-08:00,2024,5,29,3,0,2,7,0,0,30718.0,2228.682617,3872.068115,16013.998,-9370.0,20177.701,264.511932
32,2024-05-29_08:00-09:00,2024-05-29,08:00-09:00,2024,5,29,3,0,2,8,1,0,33054.0,1780.176636,6178.175781,15994.998,-9139.0,21190.032,124.11821
33,2024-05-29_09:00-10:00,2024-05-29,09:00-10:00,2024,5,29,3,0,2,9,1,0,33981.0,1441.567871,8124.29248,14105.002,-7721.0,20182.37,46.318604
34,2024-05-29_10:00-11:00,2024-05-29,10:00-11:00,2024,5,29,3,0,2,10,1,0,34600.0,1141.102539,9038.553711,12014.998,-6162.0,18590.895,73.906151
35,2024-05-29_11:00-12:00,2024-05-29,11:00-12:00,2024,5,29,3,0,2,11,1,0,32953.0,926.994751,8582.796875,11829.998,-6116.0,18466.614,40.695194
36,2024-05-29_12:00-13:00,2024-05-29,12:00-13:00,2024,5,29,3,0,2,12,1,0,33586.0,839.341858,8677.003906,11829.998,-6606.0,18237.959,134.773987
37,2024-05-29_13:00-14:00,2024-05-29,13:00-14:00,2024,5,29,3,0,2,13,1,0,33658.0,787.785034,7589.029785,11839.998,-6486.0,17647.41,147.910477
38,2024-05-29_14:00-15:00,2024-05-29,14:00-15:00,2024,5,29,3,0,2,14,1,0,33566.0,682.4039310000001,5623.081055,12109.998,-6104.0,17037.128,334.988556
39,2024-05-29_15:00-16:00,2024-05-29,15:00-16:00,2024,5,29,3,0,2,15,1,0,33938.0,624.468933,3478.643799,14710.998,-7027.0,18921.791,401.705231
40,2024-05-29_16:00-17:00,2024-05-29,16:00-17:00,2024,5,29,3,0,2,16,0,0,33907.0,653.668884,1821.849976,19043.002,-9325.0,22581.763,403.921204
41,2024-05-29_17:00-18:00,2024-05-29,17:00-18:00,2024,5,29,3,0,2,17,0,0,32762.0,705.651001,684.302979,20310.253,-9611.0,23224.88,395.33374
42,2024-05-29_18:00-19:00,2024-05-29,18:00-19:00,2024,5,29,3,0,2,18,0,0,32391.0,933.182983,95.483986,19957.05,-9415.0,22616.3,384.446259
43,2024-05-29_19:00-20:00,2024-05-29,19:00-20:00,2024,5,29,3,0,2,19,0,0,33257.0,1358.064941,1.97,20420.983,-9465.0,23117.683,379.968811
44,2024-05-29_20:00-21:00,2024-05-29,20:00-21:00,2024,5,29,3,0,2,20,0,0,33175.0,1484.0,0.01,20561.525,-9914.0,23146.015,380.996643
45,2024-05-29_21:00-22:00,2024-05-29,21:00-22:00,2024,5,29,3,0,2,21,0,0,30950.0,1368.85498,0.0,19295.398,-10467.0,21949.838,365.794739
46,2024-05-29_22:00-23:00,2024-05-29,22:00-23:00,2024,5,29,3,0,2,22,0,1,28772.0,1479.45105,0.0,17703.873,-9667.0,20211.153,365.162384
47,2024-05-29_23:00-24:00,2024-05-29,23:00-24:00,2024,5,29,3,0,2,23,0,1,27167.0,1660.926147,0.0,17319.002,-9687.0,19705.422,344.901367
48,2024-05-30_00:00-01:00,2024-05-30,00:00-01:00,2024,5,30,4,0,2,0,0,1,27350.0,1723.172852,0.0,15503.0,-8625.0,18001.21,375.678894
49,2024-05-30_01:00-02:00,2024-05-30,01:00-02:00,2024,5,30,4,0,2,1,0,1,26509.0,1642.530884,0.0,14635.0,-7829.0,17133.63,365.423309
50,2024-05-30_02:00-03:00,2024-05-30,02:00-03:00,2024,5,30,4,0,2,2,0,1,25787.0,1357.897949,0.0,14565.0,-7816.0,17067.73,373.722382
51,2024-05-30_03:00-04:00,2024-05-30,03:00-04:00,2024,5,30,4,0,2,3,0,1,25400.0,1435.853271,0.0,14565.0,-7810.0,17080.02,362.68692
52,2024-05-30_04:00-05:00,2024-05-30,04:00-05:00,2024,5,30,4,0,2,4,0,1,25663.0,1443.576904,0.02,14565.0,-7813.0,17078.6,375.36557
53,2024-05-30_05:00-06:00,2024-05-30,05:00-06:00,2024,5,30,4,0,2,5,0,1,27042.0,1567.389038,53.020012,14768.0,-8299.0,17274.998,381.235809
54,2024-05-30_06:00-07:00,2024-05-30,06:00-07:00,2024,5,30,4,0,2,6,0,1,28240.0,1486.388672,413.445557,16120.998,-9224.0,18780.148,372.551575
55,2024-05-30_07:00-08:00,2024-05-30,07:00-08:00,2024,5,30,4,0,2,7,0,0,29973.0,1321.149048,1138.609131,16580.231,-9070.0,19549.904,380.161652
56,2024-05-30_08:00-09:00,2024-05-30,08:00-09:00,2024,5,30,4,0,2,8,1,0,32088.0,1067.712036,2083.251465,17421.197,-8632.0,20722.66,380.595886
57,2024-05-30_09:00-10:00,2024-05-30,09:00-10:00,2024,5,30,4,0,2,9,1,0,32662.0,759.077148,3002.936768,14774.607,-7547.0,18424.144,368.859314
58,2024-05-30_10:00-11:00,2024-05-30,10:00-11:00,2024,5,30,4,0,2,10,1,0,33400.0,506.543976,3737.262939,12173.498,-5909.0,16104.019,376.741699
59,2024-05-30_11:00-12:00,2024-05-30,11:00-12:00,2024,5,30,4,0,2,11,1,0,32210.0,420.144043,4154.066895,11903.998,-5895.0,15986.822,299.636627
60,2024-05-30_12:00-13:00,2024-05-30,12:00-13:00,2024,5,30,4,0,2,12,1,0,32067.0,452.497955,4083.210938,11954.998,-5861.0,16042.234,378.809418
61,2024-05-30_13:00-14:00,2024-05-30,13:00-14:00,2024,5,30,4,0,2,13,1,0,31985.0,515.004089,3641.904541,11909.998,-5861.0,15860.444,311.796997
62,2024-05-30_14:00-15:00,2024-05-30,14:00-15:00,2024,5,30,4,0,2,14,1,0,31851.0,541.414124,2922.833252,11909.998,-5851.0,15639.934,283.032288
63,2024-05-30_15:00-16:00,2024-05-30,15:00-16:00,2024,5,30,4,0,2,15,1,0,31823.0,593.205017,2180.328857,13184.998,-6722.0,16696.656,334.060394
64,2024-05-30_16:00-17:00,2024-05-30,16:00-17:00,2024,5,30,4,0,2,16,0,0,31685.0,656.233032,1316.560303,16423.42,-9278.0,19637.819,345.172913
65,2024-05-30_17:00-18:00,2024-05-30,17:00-18:00,2024,5,30,4,0,2,17,0,0,30744.0,745.641174,592.554993,17725.721,-9597.0,20618.794,355.040619
66,2024-05-30_18:00-19:00,2024-05-30,18:00-19:00,2024,5,30,4,0,2,18,0,0,30605.0,767.485107,106.13662,18289.998,-9188.0,21008.008,361.713501
67,2024-05-30_19:00-20:00,2024-05-30,19:00-20:00,2024,5,30,4,0,2,19,0,0,31219.0,901.605896,0.71,18644.898,-8924.0,21438.678,345.239166
68,2024-05-30_20:00-21:00,2024-05-30,20:00-21:00,2024,5,30,4,0,2,20,0,0,31011.0,938.576111,0.01,18606.784,-9373.0,21337.914,354.649231
69,2024-05-30_21:00-22:00,2024-05-30,21:00-22:00,2024,5,30,4,0,2,21,0,0,29485.0,1044.153931,0.0,18356.398,-8935.0,21144.498,264.611816
70,2024-05-30_22:00-23:00,2024-05-30,22:00-23:00,2024,5,30,4,0,2,22,0,1,28029.0,1051.646973,0.0,16417.602,-8267.0,19062.432,263.491547
71,2024-05-30_23:00-24:00,2024-05-30,23:00-24:00,2024,5,30,4,0,2,23,0,1,26849.0,1090.455078,0.0,16357.602,-8462.0,18849.052,149.489822
72,2024-05-31_00:00-01:00,2024-05-31,00:00-01:00,2024,5,31,5,0,2,0,0,1,26937.0,1097.314087,0.0,15936.309,-8362.0,18168.229,345.409851
73,2024-05-31_01:00-02:00,2024-05-31,01:00-02:00,2024,5,31,5,0,2,1,0,1,25991.0,1037.048096,0.0,15271.002,-7857.0,17458.302,337.346252
74,2024-05-31_02:00-03:00,2024-05-31,02:00-03:00,2024,5,31,5,0,2,2,0,1,25273.0,951.081055,0.0,15282.502,-7556.0,17488.072,246.477127
75,2024-05-31_03:00-04:00,2024-05-31,03:00-04:00,2024,5,31,5,0,2,3,0,1,25000.0,887.246277,0.0,15289.202,-7557.0,17510.352,247.130905
76,2024-05-31_04:00-05:00,2024-05-31,04:00-05:00,2024,5,31,5,0,2,4,0,1,25439.0,945.720886,0.06,15255.002,-7856.0,17487.322,327.020752
77,2024-05-31_05:00-06:00,2024-05-31,05:00-06:00,2024,5,31,5,0,2,5,0,1,26646.0,863.55603,140.712143,15728.1,-7839.0,18045.373,350.789398
78,2024-05-31_06:00-07:00,2024-05-31,06:00-07:00,2024,5,31,5,0,2,6,0,1,27862.0,781.981873,1008.519653,16539.802,-8770.0,19364.458,344.86673
79,2024-05-31_07:00-08:00,2024-05-31,07:00-08:00,2024,5,31,5,0,2,7,0,0,29413.0,556.632019,2493.166748,16535.002,-9606.0,20157.791,341.447174
80,2024-05-31_08:00-09:00,2024-05-31,08:00-09:00,2024,5,31,5,0,2,8,1,0,31546.0,503.97403,4096.574219,16535.002,-9454.0,21066.334,215.559586
81,2024-05-31_09:00-10:00,2024-05-31,09:00-10:00,2024,5,31,5,0,2,9,1,0,33001.0,362.464966,5884.625,14575.002,-7752.0,19953.868,65.504402
82,2024-05-31_10:00-11:00,2024-05-31,10:00-11:00,2024,5,31,5,0,2,10,1,0,33600.0,313.934845,7284.160156,11834.998,-5638.0,17571.271,41.441738
83,2024-05-31_11:00-12:00,2024-05-31,11:00-12:00,2024,5,31,5,0,2,11,1,0,32007.0,282.155975,6854.769531,11227.87,-5599.0,16801.819,36.47205
84,2024-05-31_12:00-13:00,2024-05-31,12:00-13:00,2024,5,31,5,0,2,12,1,0,32521.0,307.610931,7543.183105,10829.998,-5896.0,15928.159,42.593651
85,2024-05-31_13:00-14:00,2024-05-31,13:00-14:00,2024,5,31,5,0,2,13,1,0,32232.0,267.172943,7266.120605,10819.998,-6129.0,16113.65,77.101402
86,2024-05-31_14:00-15:00,2024-05-31,14:00-15:00,2024,5,31,5,0,2,14,1,0,32389.0,262.047943,6421.203613,10899.998,-6012.0,16127.116,149.058533
87,2024-05-31_15:00-16:00,2024-05-31,15:00-16:00,2024,5,31,5,0,2,15,1,0,32684.0,290.121002,4952.967285,12793.966,-7284.0,17407.013,169.648788
88,2024-05-31_16:00-17:00,2024-05-31,16:00-17:00,2024,5,31,5,0,2,16,0,0,32782.0,336.381012,2987.264893,17224.964,-9305.0,21476.569,182.404221
89,2024-05-31_17:00-18:00,2024-05-31,17:00-18:00,2024,5,31,5,0,2,17,0,0,31612.0,367.691071,1289.605347,18773.984,-9635.0,22315.671,244.723953
90,2024-05-31_18:00-19:00,2024-05-31,18:00-19:00,2024,5,31,5,0,2,18,0,0,30906.0,410.531006,228.712936,18847.664,-9212.0,21889.144,304.972015
91,2024-05-31_19:00-20:00,2024-05-31,19:00-20:00,2024,5,31,5,0,2,19,0,0,31662.0,622.277954,2.2187,19385.832,-8878.0,22444.952,336.092468
92,2024-05-31_20:00-21:00,2024-05-31,20:00-21:00,2024,5,31,5,0,2,20,0,0,31778.0,780.395142,0.01,19945.69,-9327.0,22576.591,342.058594
93,2024-05-31_21:00-22:00,2024-05-31,21:00-22:00,2024,5,31,5,0,2,21,0,0,30009.0,1001.615723,0.0,19025.999,-9871.0,21689.909,326.564362
94,2024-05-31_22:00-23:00,2024-05-31,22:00-23:00,2024,5,31,5,0,2,22,0,1,28190.0,1195.207764,0.0,17124.456,-9565.0,19625.356,254.131729
95,2024-05-31_23:00-24:00,2024-05-31,23:00-24:00,2024,5,31,5,0,2,23,0,1,26749.0,1298.852905,0.0,16115.402,-9566.0,18466.622,244.415558
96,2024-06-01_00:00-01:00,2024-06-01,00:00-01:00,2024,6,1,6,1,2,0,0,1,26893.0,1132.34,,16596.416,-9170.0,19685.576,
97,2024-06-01_01:00-02:00,2024-06-01,01:00-02:00,2024,6,1,6,1,2,1,0,1,25969.0,1078.145,,15787.023,-8868.0,18817.013,
98,2024-06-01_02:00-03:00,2024-06-01,02:00-03:00,2024,6,1,6,1,2,2,0,1,25333.0,1084.421,,15068.773,-8476.0,18112.713,
99,2024-06-01_03:00-04:00,2024-06-01,03:00-04:00,2024,6,1,6,1,2,3,0,1,24974.0,1173.313,,14755.253,-8396.0,17815.893,
100,2024-06-01_04:00-05:00,2024-06-01,04:00-05:00,2024,6,1,6,1,2,4,0,1,25313.0,1350.396,,14745.773,-8380.0,17793.913,
101,2024-06-01_05:00-06:00,2024-06-01,05:00-06:00,2024,6,1,6,1,2,5,0,1,26602.0,1632.005,,15013.454,-8938.0,18214.95,
102,2024-06-01_06:00-07:00,2024-06-01,06:00-07:00,2024,6,1,6,1,2,6,0,1,27286.0,1923.84,,15960.002,-9622.0,19859.871,
103,2024-06-01_07:00-08:00,2024-06-01,07:00-08:00,2024,6,1,6,1,2,7,0,0,28837.0,2104.707,,15904.002,-9839.0,20761.466,
104,2024-06-01_08:00-09:00,2024-06-01,08:00-09:00,2024,6,1,6,1,2,8,1,0,30697.0,2084.489,,15901.184,-9993.0,21751.087,
105,2024-06-01_09:00-10:00,2024-06-01,09:00-10:00,2024,6,1,6,1,2,9,1,0,31784.0,1997.911,,13720.002,-8669.0,20328.566,
106,2024-06-01_10:00-11:00,2024-06-01,10:00-11:00,2024,6,1,6,1,2,10,1,0,32503.0,1925.422,,10719.998,-6614.0,17661.607,
107,2024-06-01_11:00-12:00,2024-06-01,11:00-12:00,2024,6,1,6,1,2,11,1,0,31126.0,1854.053,,10694.998,-6238.0,17521.476,
108,2024-06-01_12:00-13:00,2024-06-01,12:00-13:00,2024,6,1,6,1,2,12,1,0,31515.0,1772.591,,10704.998,-6240.0,16998.071,
109,2024-06-01_13:00-14:00,2024-06-01,13:00-14:00,2024,6,1,6,1,2,13,1,0,31380.0,1712.814,,10704.998,-5836.0,17169.228,
110,2024-06-01_14:00-15:00,2024-06-01,14:00-15:00,2024,6,1,6,1,2,14,1,0,31375.0,1696.67,,11604.998,-5750.0,17840.322,
111,2024-06-01_15:00-16:00,2024-06-01,15:00-16:00,2024,6,1,6,1,2,15,1,0,31560.0,1732.999,,13522.274,-6692.0,19056.202,
112,2024-06-01_16:00-17:00,2024-06-01,16:00-17:00,2024,6,1,6,1,2,16,0,0,31600.0,1814.348,,17281.268,-9205.0,22504.677,
113,2024-06-01_17:00-18:00,2024-06-01,17:00-18:00,2024,6,1,6,1,2,17,0,0,30507.0,1968.148,,18504.002,-9276.0,23037.436,
114,2024-06-01_18:00-19:00,2024-06-01,18:00-19:00,2024,6,1,6,1,2,18,0,0,29903.0,2155.205,,18519.002,-8820.0,22590.032,
115,2024-06-01_19:00-20:00,2024-06-01,19:00-20:00,2024,6,1,6,1,2,19,0,0,30838.0,2352.165,,19013.002,-8587.0,23133.332,
116,2024-06-01_20:00-21:00,2024-06-01,20:00-21:00,2024,6,1,6,1,2,20,0,0,30686.0,2440.099,,19323.002,-9540.0,23008.352,
117,2024-06-01_21:00-22:00,2024-06-01,21:00-22:00,2024,6,1,6,1,2,21,0,0,28827.0,2390.303,,18128.002,-9490.0,21734.132,
118,2024-06-01_22:00-23:00,2024-06-01,22:00-23:00,2024,6,1,6,1,2,22,0,1,26927.0,2285.039,,16128.367,-9240.0,19588.827,
119,2024-06-01_23:00-24:00,2024-06-01,23:00-24:00,2024,6,1,6,1,2,23,0,1,25883.0,2166.01,,15754.002,-9140.0,18985.592,
120,2024-06-02_00:00-01:00,2024-06-02,00:00-01:00,2024,6,2,7,1,2,0,0,1,27083.0,2063.429,,17251.441,-9180.0,20436.791,
121,2024-06-02_01:00-02:00,2024-06-02,01:00-02:00,2024,6,2,7,1,2,1,0,1,26101.0,1940.006,,16424.562,-8989.0,19596.922,
122,2024-06-02_02:00-03:00,2024-06-02,02:00-03:00,2024,6,2,7,1,2,2,0,1,25405.0,1835.811,,16077.951,-9092.0,19222.541,
123,2024-06-02_03:00-04:00,2024-06-02,03:00-04:00,2024,6,2,7,1,2,3,0,1,25000.0,1773.117,,15956.002,-9172.0,19082.352,
124,2024-06-02_04:00-05:00,2024-06-02,04:00-05:00,2024,6,2,7,1,2,4,0,1,25262.0,1745.114,,15924.302,-9152.0,19052.802,
125,2024-06-02_05:00-06:00,2024-06-02,05:00-06:00,2024,6,2,7,1,2,5,0,1,26446.0,1726.008,,16311.754,-9108.0,19557.934,
126,2024-06-02_06:00-07:00,2024-06-02,06:00-07:00,2024,6,2,7,1,2,6,0,1,27117.0,1725.055,,16911.08,-9845.0,20678.381,
127,2024-06-02_07:00-08:00,2024-06-02,07:00-08:00,2024,6,2,7,1,2,7,0,0,28517.0,1616.848,,16862.002,-9740.0,21361.404,
128,2024-06-02_08:00-09:00,2024-06-02,08:00-09:00,2024,6,2,7,1,2,8,1,0,30173.0,1430.349,,16844.002,-9897.0,22077.239,
129,2024-06-02_09:00-10:00,2024-06-02,09:00-10:00,2024,6,2,7,1,2,9,1,0,31160.0,1262.358,,14660.002,-8535.0,20495.901,
130,2024-06-02_10:00-11:00,2024-06-02,10:00-11:00,2024,6,2,7,1,2,10,1,0,31858.0,1147.038,,11205.065,-6565.0,17277.089,
131,2024-06-02_11:00-12:00,2024-06-02,11:00-12:00,2024,6,2,7,1,2,11,1,0,30356.0,1055.912,,11009.998,-6520.0,16944.862,
132,2024-06-02_12:00-13:00,2024-06-02,12:00-13:00,2024,6,2,7,1,2,12,1,0,30562.0,967.166,,11019.998,-6529.0,16432.78,
133,2024-06-02_13:00-14:00,2024-06-02,13:00-14:00,2024,6,2,7,1,2,13,1,0,30459.0,917.916,,10969.998,-6201.0,16527.182,
134,2024-06-02_14:00-15:00,2024-06-02,14:00-15:00,2024,6,2,7,1,2,14,1,0,30407.0,905.683,,11931.102,-6159.0,17416.484,
135,2024-06-02_15:00-16:00,2024-06-02,15:00-16:00,2024,6,2,7,1,2,15,1,0,30665.0,953.489,,14229.813,-7222.0,19274.131,
136,2024-06-02_16:00-17:00,2024-06-02,16:00-17:00,2024,6,2,7,1,2,16,0,0,30871.0,1047.29,,17504.002,-9578.0,22476.571,
137,2024-06-02_17:00-18:00,2024-06-02,17:00-18:00,2024,6,2,7,1,2,17,0,0,29827.0,1188.21,,18646.002,-9759.0,23129.083,
138,2024-06-02_18:00-19:00,2024-06-02,18:00-19:00,2024,6,2,7,1,2,18,0,0,29184.0,1395.022,,18646.002,-9161.0,22731.082,
139,2024-06-02_19:00-20:00,2024-06-02,19:00-20:00,2024,6,2,7,1,2,19,0,0,30007.0,1583.715,,19077.002,-8962.0,23195.302,
140,2024-06-02_20:00-21:00,2024-06-02,20:00-21:00,2024,6,2,7,1,2,20,0,0,29809.0,1633.421,,19206.002,-9447.0,22960.672,
141,2024-06-02_21:00-22:00,2024-06-02,21:00-22:00,2024,6,2,7,1,2,21,0,0,27985.0,1551.172,,18066.11,-9682.0,21711.37,
142,2024-06-02_22:00-23:00,2024-06-02,22:00-23:00,2024,6,2,7,1,2,22,0,1,26324.0,1406.152,,16867.002,-9416.0,20305.272,
143,2024-06-02_23:00-24:00,2024-06-02,23:00-24:00,2024,6,2,7,1,2,23,0,1,25221.0,1213.652,,16767.132,-9336.0,20033.972,
144,2024-06-03_00:00-01:00,2024-06-03,00:00-01:00,2024,6,3,1,0,2,0,0,1,27105.0,1518.591797,0.0,16762.798,-8694.0,20075.738,349.729187
145,2024-06-03_01:00-02:00,2024-06-03,01:00-02:00,2024,6,3,1,0,2,1,0,1,26220.0,1261.955933,0.0,16147.255,-8709.0,19442.875,344.860901
146,2024-06-03_02:00-03:00,2024-06-03,02:00-03:00,2024,6,3,1,0,2,2,0,1,25640.0,1297.489624,0.0,16115.617,-8902.0,19425.677,320.499908
147,2024-06-03_03:00-04:00,2024-06-03,03:00-04:00,2024,6,3,1,0,2,3,0,1,25282.0,1123.097168,0.0,16212.702,-8897.0,19508.552,321.4263
148,2024-06-03_04:00-05:00,2024-06-03,04:00-05:00,2024,6,3,1,0,2,4,0,1,25654.0,1080.092529,0.07,16175.202,-8874.0,19449.882,329.257568
149,2024-06-03_05:00-06:00,2024-06-03,05:00-06:00,2024,6,3,1,0,2,5,0,1,27038.0,1112.534058,204.284348,16595.202,-8646.0,20029.321,349.898285
150,2024-06-03_06:00-07:00,2024-06-03,06:00-07:00,2024,6,3,1,0,2,6,0,1,28104.0,941.86676,1444.94165,17081.206,-9918.0,21229.402,349.266296
151,2024-06-03_07:00-08:00,2024-06-03,07:00-08:00,2024,6,3,1,0,2,7,0,0,29935.0,1093.688843,3414.975586,16893.502,-9859.0,22108.782,201.858536
152,2024-06-03_08:00-09:00,2024-06-03,08:00-09:00,2024,6,3,1,0,2,8,1,0,32245.0,977.35907,5769.101074,16850.002,-10010.0,23175.935,154.317184
153,2024-06-03_09:00-10:00,2024-06-03,09:00-10:00,2024,6,3,1,0,2,9,1,0,33350.0,544.953003,8247.842773,14660.002,-8649.0,22022.481,4.691199
154,2024-06-03_10:00-11:00,2024-06-03,10:00-11:00,2024,6,3,1,0,2,10,1,0,34012.0,444.237061,10303.03027,11049.998,-6609.0,18890.28,0.0
155,2024-06-03_11:00-12:00,2024-06-03,11:00-12:00,2024,6,3,1,0,2,11,1,0,32540.0,395.797913,10916.06055,11014.998,-6535.0,18841.243,8.397483
156,2024-06-03_12:00-13:00,2024-06-03,12:00-13:00,2024,6,3,1,0,2,12,1,0,32904.0,434.103943,11440.33789,11014.998,-6480.0,18330.366,11.510437
157,2024-06-03_13:00-14:00,2024-06-03,13:00-14:00,2024,6,3,1,0,2,13,1,0,32757.0,572.323975,10572.70703,11014.998,-6470.0,18315.383,8.536797
158,2024-06-03_14:00-15:00,2024-06-03,14:00-15:00,2024,6,3,1,0,2,14,1,0,32918.0,653.50116,8970.233398,11924.998,-6481.0,18772.206,2.832244
159,2024-06-03_15:00-16:00,2024-06-03,15:00-16:00,2024,6,3,1,0,2,15,1,0,33143.0,837.454956,6475.653809,13671.998,-7544.0,19727.002,211.176483
160,2024-06-03_16:00-17:00,2024-06-03,16:00-17:00,2024,6,3,1,0,2,16,0,0,33115.0,828.830017,3640.167236,17968.702,-9554.0,23502.997,355.529236
161,2024-06-03_17:00-18:00,2024-06-03,17:00-18:00,2024,6,3,1,0,2,17,0,0,31856.0,851.891174,1220.950317,19131.116,-9773.0,24059.029,373.272491
162,2024-06-03_18:00-19:00,2024-06-03,18:00-19:00,2024,6,3,1,0,2,18,0,0,31275.0,1066.774658,191.239288,18743.902,-9155.0,23214.192,355.071198
